zona,secao,melhor_urbano,melhor_rural,tse_recente,tse_distribuido,escolas_inep,escolas_municipais,ibge_cnefe_endereco,ibge_cnefe_local,google,google_relaxado,google_centro_geometrico,ibge_povoados,ano
152,452,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,453,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,454,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,455,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,456,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,457,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,458,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,459,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,46,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,460,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,461,POINT(-43.3862331 -21.7718586),POINT(-43.3862331 -21.7718586), , ,POINT(-43.3862331 -21.7718586), , , , , , , ,2020
152,462,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,463,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,464,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,465,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,466,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,467,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,468,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,469,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,47,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,470,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,471,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,472,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,473,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,474,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,475,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,476,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,477,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,478,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,479,POINT(-43.3716998 -21.7730615),POINT(-43.3716998 -21.7730615), , ,POINT(-43.3716998 -21.7730615), , , , , , , ,2020
152,48,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), , ,POINT(-43.3514467 -21.7681983), , , ,POINT(-43.350413 -21.768268), , , ,2020
152,480,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , ,POINT(-43.38458 -21.78132), , , , , , , ,2020
152,481,POINT(-43.38458 -21.78132),POINT(-43.38458 -21.78132), , ,POINT(-43.38458 -21.78132), , , , , , , ,2020
