zona,secao,melhor_urbano,melhor_rural,tse_distribuido,google
152,29,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,293,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,294,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,298,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,3,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,30,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,301,POINT(-43.3544952 -21.7747755),POINT(-43.3544952 -21.7747755), , 
152,31,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,32,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,321,POINT(-43.3525 -21.76505),POINT(-43.3525 -21.76505), , 
152,322,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,326,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,328,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,33,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,335,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,34,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,348,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,35,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,351,POINT(-43.347193 -21.7654826),POINT(-43.347193 -21.7654826), , 
152,353,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,355,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,356,POINT(-43.3895335 -21.7899894),POINT(-43.3895335 -21.7899894), , 
152,36,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,368,POINT(-43.355953 -21.768228),POINT(-43.355953 -21.768228), ,POINT(-43.355953 -21.768228)
152,37,POINT(-43.350982 -21.7635925),POINT(-43.350982 -21.7635925), ,POINT(-43.350982 -21.7635925)
152,370,POINT(-43.350413 -21.768268),POINT(-43.3514467 -21.7681983), ,POINT(-43.350413 -21.768268)
152,381,POINT(-43.3509812 -21.7719805),POINT(-43.3509812 -21.7719805), ,POINT(-43.3509812 -21.7719805)
152,383,POINT(-43.3622454 -21.7778547),POINT(-43.3622454 -21.7778547), ,POINT(-43.3622454 -21.7778547)
152,39,POINT(-43.3492852 -21.764553),POINT(-43.3492852 -21.764553), ,POINT(-43.3492852 -21.764553)
152,392,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), ,POINT(-43.350267 -21.760333)
152,393,POINT(-43.350267 -21.760333),POINT(-43.350267 -21.760333), ,POINT(-43.350267 -21.760333)
